in:wing1,in:wing2,out:wing1,out:wing2,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37
4,50,4,50,1.78586,2.118779,2.451699,2.784618,3.117537,5.645543,6.210567,6.775591,7.340615,7.905638,7.905638,1.533505,1.866425,2.199344,2.532263,2.865183,5.361615,5.926639,6.491663,7.056686,7.056686,7.62171,1.200586,4.796591,1.452941,5.08052,1.493223,1.826142,2.159062,2.491981,2.491981,2.8249,5.221067,5.786091,6.351115,6.916139,7.481162,2.137205,3.352904,4.568602,5.784301,7,1.91141,3.183558,4.455705,5.727853,7,7,1.215699,2.431398,3.647096,4.862795,6.078494,1.272147,2.544295,3.816442,5.08859,5.08859,6.360737,0,0,0.921506,0.639263,1.068602,2.284301,3.5,4.715699,4.715699,5.931398,0.955705,2.227853,3.5,4.772147,6.044295,0.548138,0.937583,1.327028,1.716474,2.105919,-1.686312,-0.264138,1.158037,2.580211,4.002386,4.002386,0.252936,0.642382,1.031827,1.421272,1.810717,-2.400965,-0.97879,0.443384,1.865559,1.865559,3.287734,-0.136509,-3.823139,0.158693,-3.108487,0.122505,0.51195,0.901395,1.290841,1.290841,1.680286,-2.998982,-1.576807,-0.154633,1.267542,2.689717
5,50,5,50,1.876873,2.187039,2.497205,2.807371,3.117537,5.842462,6.358256,6.87405,7.389844,7.905638,7.905638,1.64005,1.950216,2.260382,2.570548,2.880715,5.577675,6.093469,6.609263,7.125057,7.125057,7.640852,1.329884,5.061881,1.566707,5.326668,1.603378,1.913544,2.223711,2.533877,2.533877,2.844043,5.452171,5.967965,6.48376,6.999554,7.515348,2.141871,3.356403,4.570935,5.785468,7,1.921425,3.191069,4.460713,5.730356,7,7,1.214532,2.429065,3.643597,4.858129,6.072661,1.269644,2.539287,3.808931,5.078575,5.078575,6.348219,0,0,0.927339,0.651781,1.070935,2.285468,3.5,4.714532,4.714532,5.929065,0.960713,2.230356,3.5,4.769644,6.039287,0.587952,0.967444,1.346935,1.726427,2.105919,-1.535134,-0.150754,1.233626,2.618006,4.002386,4.002386,0.298197,0.677688,1.05718,1.436672,1.816163,-2.245816,-0.861436,0.522944,1.907324,1.907324,3.291704,-0.081295,-3.630196,0.20846,-2.919514,0.161443,0.540935,0.920426,1.299918,1.299918,1.67941,-2.865579,-1.481199,-0.096819,1.287561,2.671941
6,50,6,50,1.960231,2.249557,2.538884,2.828211,3.117537,6.027955,6.497376,6.966797,7.436218,7.905638,7.905638,1.737834,2.027161,2.316487,2.605814,2.895141,5.781748,6.251169,6.72059,7.190011,7.190011,7.659432,1.448507,5.312327,1.670904,5.558534,1.704369,1.993696,2.283022,2.572349,2.572349,2.861676,5.670141,6.139562,6.608983,7.078404,7.547825,2.146195,3.359646,4.573097,5.786549,7,1.931658,3.198744,4.465829,5.732915,7,7,1.213451,2.426903,3.640354,4.853805,6.067257,1.267085,2.534171,3.801256,5.068342,5.068342,6.335427,0,0,0.932743,0.664573,1.073097,2.286549,3.5,4.713451,4.713451,5.926903,0.965829,2.232915,3.5,4.767085,6.034171,0.629201,0.998381,1.36756,1.736739,2.105919,-1.378056,-0.032945,1.312165,2.657276,4.002386,4.002386,0.345424,0.714603,1.083783,1.452962,1.822142,-2.083552,-0.738442,0.606669,1.951779,1.951779,3.29689,-0.023755,-3.428663,0.260022,-2.723166,0.203837,0.573016,0.942196,1.311375,1.311375,1.680554,-2.718334,-1.373224,-0.028113,1.316997,2.662107
7,50,7,50,2.036986,2.307124,2.577262,2.8474,3.117537,6.20186,6.627805,7.053749,7.479694,7.905638,7.905638,1.828047,2.098184,2.368322,2.63846,2.908598,5.973625,6.399569,6.825514,7.251458,7.251458,7.677403,1.557909,5.54768,1.766848,5.775915,1.797447,2.067585,2.337723,2.607861,2.607861,2.877999,5.87477,6.300715,6.726659,7.152604,7.578548,2.150218,3.362663,4.575109,5.787554,7,1.942044,3.206533,4.471022,5.735511,7,7,1.212446,2.424891,3.637337,4.849782,6.062228,1.264489,2.528978,3.793467,5.057956,5.057956,6.322445,0,0,0.937772,0.677555,1.075109,2.287554,3.5,4.712446,4.712446,5.924891,0.971022,2.235511,3.5,4.764489,6.028978,0.671531,1.030128,1.388725,1.747322,2.105919,-1.216864,0.087949,1.392761,2.697574,4.002386,4.002386,0.394172,0.752769,1.111366,1.469963,1.82856,-1.916026,-0.611213,0.693599,1.998412,1.998412,3.303224,0.035575,-3.220838,0.312934,-2.521676,0.248799,0.607396,0.965993,1.32459,1.32459,1.683187,-2.561049,-1.256236,0.048576,1.353389,2.658201
8,50,8,50,2.107907,2.360315,2.612722,2.86513,3.117537,6.364243,6.749592,7.134941,7.52029,7.905638,7.905638,1.911554,2.163961,2.416369,2.668776,2.921184,6.15333,6.538679,6.924028,7.309377,7.309377,7.694726,1.659146,5.767982,1.8555,5.978894,1.883527,2.135934,2.388342,2.640749,2.640749,2.893157,6.066112,6.451461,6.83681,7.222159,7.607508,2.153968,3.365476,4.576984,5.788492,7,1.952526,3.214394,4.476263,5.738131,7,7,1.211508,2.423016,3.634524,4.846032,6.05754,1.261869,2.523737,3.785606,5.047474,5.047474,6.309343,0,0,0.94246,0.690657,1.076984,2.288492,3.5,4.711508,4.711508,5.923016,0.976263,2.238131,3.5,4.761869,6.023737,0.714618,1.062443,1.410268,1.758094,2.105919,-1.053024,0.210829,1.474681,2.738534,4.002386,4.002386,0.444037,0.791862,1.139687,1.487512,1.835338,-1.744767,-0.480914,0.782938,2.04679,2.04679,3.310643,0.096211,-3.008619,0.366793,-2.316876,0.295655,0.64348,0.991306,1.339131,1.339131,1.686956,-2.396461,-1.132609,0.131244,1.395096,2.658948
9,50,9,50,2.173597,2.409582,2.645567,2.881552,3.117537,6.515345,6.862918,7.210492,7.558065,7.905638,7.905638,1.989033,2.225018,2.461003,2.696989,2.932974,6.321078,6.668651,7.016225,7.363798,7.363798,7.711372,1.753048,5.973504,1.937612,6.167771,1.963322,2.199308,2.435293,2.671278,2.671278,2.907263,6.244424,6.591998,6.939571,7.287145,7.634718,2.157467,3.368101,4.578734,5.789367,7,1.963053,3.22229,4.481527,5.740763,7,7,1.210633,2.421266,3.631899,4.842533,6.053166,1.259237,2.518473,3.77771,5.036947,5.036947,6.296183,0,0,0.946834,0.703817,1.078734,2.289367,3.5,4.710633,4.710633,5.921266,0.981527,2.240763,3.5,4.759237,6.018473,0.758177,1.095113,1.432048,1.768983,2.105919,-0.887751,0.334783,1.557318,2.779852,4.002386,4.002386,0.494661,0.831596,1.168532,1.505467,1.842402,-1.571053,-0.348519,0.874015,2.096549,2.096549,3.319083,0.157725,-2.793588,0.421242,-2.110285,0.343869,0.680804,1.017739,1.354675,1.354675,1.69161,-2.226682,-1.004148,0.218386,1.44092,2.663454
10,50,10,50,2.234552,2.455298,2.676045,2.896791,3.117537,6.655533,6.968059,7.280586,7.593112,7.905638,7.905638,2.061045,2.281791,2.502538,2.723284,2.944031,6.477215,6.789741,7.102268,7.414794,7.414794,7.727321,1.840299,6.164688,2.013805,6.343006,2.037425,2.258172,2.478918,2.699664,2.699664,2.920411,6.41011,6.722637,7.035163,7.34769,7.660216,2.160733,3.37055,4.580367,5.790183,7,1.973582,3.230187,4.486791,5.743396,7,7,1.209817,2.419633,3.62945,4.839267,6.049083,1.256604,2.513209,3.769813,5.026418,5.026418,6.283022,0,0,0.950917,0.716978,1.080367,2.290183,3.5,4.709817,4.709817,5.919633,0.986791,2.243396,3.5,4.756604,6.013209,0.801964,1.127952,1.453941,1.77993,2.105919,-0.722052,0.459058,1.640167,2.821277,4.002386,4.002386,0.545736,0.871725,1.197714,1.523703,1.849691,-1.395955,-0.214845,0.966264,2.147374,2.147374,3.328483,0.219747,-2.577064,0.475975,-1.903161,0.393003,0.718992,1.044981,1.37097,1.37097,1.696958,-2.05339,-0.872281,0.308829,1.489938,2.671047
11,50,11,50,2.291199,2.497784,2.704368,2.910953,3.117537,6.785263,7.065357,7.345451,7.625545,7.905638,7.905638,2.12807,2.334655,2.541239,2.747824,2.954408,6.622187,6.902281,7.182375,7.462469,7.462469,7.742562,1.921486,6.342093,2.084615,6.505169,2.106342,2.312927,2.519512,2.726096,2.726096,2.932681,6.563678,6.843772,7.123866,7.40396,7.684054,2.163781,3.372836,4.581891,5.790945,7,1.984074,3.238055,4.492037,5.746018,7,7,1.209055,2.418109,3.627164,4.836219,6.045273,1.253982,2.507963,3.761945,5.015926,5.015926,6.269908,0,0,0.954727,0.730092,1.081891,2.290945,3.5,4.709055,4.709055,5.918109,0.992037,2.246018,3.5,4.753982,6.007963,0.845768,1.160805,1.475843,1.790881,2.105919,-0.556756,0.58303,1.722815,2.862601,4.002386,4.002386,0.596999,0.912037,1.227075,1.542112,1.85715,-1.220361,-0.080575,1.05921,2.198996,2.198996,3.338781,0.281961,-2.360146,0.53073,-1.696541,0.442702,0.75774,1.072778,1.387815,1.387815,1.702853,-1.877941,-0.738156,0.40163,1.541415,2.6812
12,50,12,50,2.343913,2.537319,2.730725,2.924131,3.117537,6.905049,7.155196,7.405344,7.655491,7.905638,7.905638,2.190532,2.383938,2.577344,2.77075,2.964156,6.756502,7.00665,7.256797,7.506944,7.506944,7.757092,1.997126,6.506355,2.150507,6.654902,2.17052,2.363926,2.557332,2.750738,2.750738,2.944144,6.705702,6.955849,7.205997,7.456144,7.706291,2.166625,3.374969,4.583312,5.791656,7,1.994492,3.245869,4.497246,5.748623,7,7,1.208344,2.416688,3.625031,4.833375,6.041719,1.251377,2.502754,3.754131,5.005508,5.005508,6.256885,0,0,0.958281,0.743115,1.083312,2.291656,3.5,4.708344,4.708344,5.916688,0.997246,2.248623,3.5,4.751377,6.002754,0.889416,1.193542,1.497667,1.801793,2.105919,-0.39254,0.706192,1.804923,2.903655,4.002386,4.002386,0.648228,0.952354,1.25648,1.560605,1.864731,-1.045008,0.053724,1.152455,2.251187,2.251187,3.349918,0.344102,-2.143739,0.58529,-1.491271,0.492673,0.796799,1.100924,1.40505,1.40505,1.709176,-1.701436,-0.602705,0.496027,1.594758,2.693489
13,50,13,50,2.393028,2.574156,2.755283,2.93641,3.117537,7.015436,7.237986,7.460537,7.683088,7.905638,7.905638,2.248809,2.429936,2.611063,2.792191,2.973318,6.880706,7.103257,7.325808,7.548359,7.548359,7.770909,2.067681,6.658156,2.211901,6.792885,2.230355,2.411482,2.592609,2.773737,2.773737,2.954864,6.836796,7.059346,7.281897,7.504448,7.726999,2.169277,3.376957,4.584638,5.792319,7,2.004805,3.253603,4.502402,5.751201,7,7,1.207681,2.415362,3.623043,4.830723,6.038404,1.248799,2.497598,3.746397,4.995195,4.995195,6.243994,0,0,0.961596,0.756006,1.084638,2.292319,3.5,4.707681,4.707681,5.915362,1.002402,2.251201,3.5,4.748799,5.997598,0.932766,1.226054,1.519342,1.812631,2.105919,-0.229949,0.828135,1.886218,2.944302,4.002386,4.002386,0.69924,0.992528,1.285816,1.579105,1.872393,-0.870498,0.187585,1.245669,2.303753,2.303753,3.361837,0.405951,-1.928582,0.639477,-1.288033,0.542677,0.835966,1.129254,1.422542,1.422542,1.715831,-1.52477,-0.466686,0.591397,1.649481,2.707565
