in:wing1,in:wing2,out:wing1,out:wing2,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37
0,0,0,0,0.486931,0.486931,0.486931,0.486931,0.486931,3.603747,3.603747,3.603747,3.603747,3.603747,3.603747,0.486931,0.486931,0.486931,0.486931,0.486931,3.603747,3.603747,3.603747,3.603747,3.603747,3.603747,0.486931,3.603747,0.486931,3.603747,0.486931,0.486931,0.486931,0.486931,0.486931,0.486931,3.603747,3.603747,3.603747,3.603747,3.603747,2.2,3.4,4.6,5.8,7,2.2,3.4,4.6,5.8,7,7,1.2,2.4,3.6,4.8,6,1.2,2.4,3.6,4.8,4.8,6,0,0,1,1,1.1,2.3,3.5,4.7,4.7,5.9,1.1,2.3,3.5,4.7,5.9,-0.32534,-0.32534,-0.32534,-0.32534,-0.32534,-4.425091,-4.425091,-4.425091,-4.425091,-4.425091,-4.425091,-0.32534,-0.32534,-0.32534,-0.32534,-0.32534,-4.425091,-4.425091,-4.425091,-4.425091,-4.425091,-4.425091,-0.32534,-4.425091,-0.32534,-4.425091,-0.475076,-0.475076,-0.475076,-0.475076,-0.475076,-0.475076,-4.967951,-4.967951,-4.967951,-4.967951,-4.967951
1,0,1,0,0.64426,0.604928,0.565595,0.526263,0.486931,3.820406,3.766241,3.712076,3.657912,3.603747,3.603747,0.677016,0.637684,0.598351,0.559019,0.519686,3.865484,3.811319,3.757154,3.702989,3.702989,3.648824,0.716348,3.919649,0.683593,3.874571,0.680304,0.640972,0.60164,0.562307,0.562307,0.522975,3.870027,3.815863,3.761698,3.707533,3.653368,2.199556,3.399667,4.599778,5.799889,7,2.199089,3.399317,4.599544,5.799772,7,7,1.200111,2.400222,3.600333,4.800444,6.000555,1.200228,2.400456,3.600683,4.800911,4.800911,6.001139,0,0,0.999445,0.998861,1.099778,2.299889,3.5,4.700111,4.700111,5.900222,1.099544,2.299772,3.5,4.700228,5.900456,-0.296255,-0.303526,-0.310798,-0.318069,-0.32534,-4.349906,-4.368702,-4.387499,-4.406295,-4.425091,-4.425091,-0.2902,-0.297471,-0.304742,-0.312013,-0.319285,-4.334263,-4.35306,-4.371856,-4.390652,-4.390652,-4.409448,-0.282929,-4.315467,-0.288984,-4.33111,-0.439068,-0.446339,-0.45361,-0.460882,-0.460882,-0.468153,-4.875399,-4.894196,-4.912992,-4.931788,-4.950584
2,0,2,0,0.769982,0.699219,0.628456,0.557693,0.486931,4.029608,3.923143,3.816677,3.710212,3.603747,3.603747,0.828826,0.758063,0.687301,0.616538,0.545775,4.117858,4.011392,3.904927,3.798462,3.798462,3.691996,0.899589,4.224323,0.840744,4.136073,0.834785,0.764022,0.69326,0.622497,0.622497,0.551734,4.126966,4.0205,3.914035,3.80757,3.701104,2.198551,3.398913,4.599276,5.799638,7,2.196353,3.397265,4.598177,5.799088,7,7,1.200362,2.400724,3.601087,4.801449,6.001811,1.200912,2.401823,3.602735,4.803647,4.803647,6.004558,0,0,0.998189,0.995442,1.099276,2.299638,3.5,4.700362,4.700362,5.900724,1.098177,2.299088,3.5,4.700912,5.901823,-0.265251,-0.280273,-0.295296,-0.310318,-0.32534,-4.250558,-4.294191,-4.337824,-4.381458,-4.425091,-4.425091,-0.252759,-0.267781,-0.282804,-0.297826,-0.312848,-4.21439,-4.258023,-4.301656,-4.34529,-4.34529,-4.388923,-0.237737,-4.170756,-0.250229,-4.206924,-0.400375,-0.415397,-0.430419,-0.445441,-0.445441,-0.460463,-4.752917,-4.79655,-4.840184,-4.883817,-4.927451
3,0,3,0,0.879034,0.781008,0.682982,0.584957,0.486931,4.231086,4.074251,3.917416,3.760581,3.603747,3.603747,0.960388,0.862363,0.764337,0.666311,0.568285,4.360235,4.203401,4.046566,3.889731,3.889731,3.732896,1.058414,4.51707,0.97706,4.387921,0.968724,0.870698,0.772672,0.674647,0.674647,0.576621,4.374078,4.217243,4.060408,3.903574,3.746739,2.197197,3.397897,4.598598,5.799299,7,2.191873,3.393905,4.595936,5.797968,7,7,1.200701,2.401402,3.602103,4.802803,6.003504,1.202032,2.404064,3.606095,4.808127,4.808127,6.010159,0,0,0.996496,0.989841,1.098598,2.299299,3.5,4.700701,4.700701,5.901402,1.095936,2.297968,3.5,4.702032,5.904064,-0.23168,-0.255095,-0.27851,-0.301925,-0.32534,-4.136277,-4.20848,-4.280684,-4.352888,-4.425091,-4.425091,-0.212248,-0.235663,-0.259078,-0.282492,-0.305907,-4.076819,-4.149023,-4.221226,-4.29343,-4.29343,-4.365633,-0.188833,-4.004616,-0.208266,-4.064073,-0.358319,-0.381734,-0.405149,-0.428564,-0.428564,-0.451979,-4.611934,-4.684137,-4.756341,-4.828545,-4.900748
4,0,4,0,0.976744,0.854291,0.731837,0.609384,0.486931,4.424115,4.219023,4.013931,3.808839,3.603747,3.603747,1.078133,0.955679,0.833226,0.710773,0.588319,4.591499,4.386407,4.181315,3.976223,3.976223,3.771131,1.200586,4.796591,1.099198,4.629207,1.088665,0.966212,0.843758,0.721305,0.721305,0.598852,4.610353,4.405261,4.200169,3.995077,3.789985,2.195588,3.396691,4.597794,5.798897,7,2.185813,3.38936,4.592907,5.796453,7,7,1.201103,2.402206,3.603309,4.804412,6.005515,1.203547,2.407093,3.61064,4.814187,4.814187,6.017733,0,0,0.994485,0.982267,1.097794,2.298897,3.5,4.701103,4.701103,5.902206,1.092907,2.296453,3.5,4.703547,5.907093,-0.195737,-0.228138,-0.260538,-0.292939,-0.32534,-4.011104,-4.114601,-4.218098,-4.321594,-4.425091,-4.425091,-0.16891,-0.20131,-0.233711,-0.266112,-0.298513,-3.926636,-4.030133,-4.13363,-4.237126,-4.237126,-4.340623,-0.136509,-3.823139,-0.163336,-3.907607,-0.313193,-0.345594,-0.377994,-0.410395,-0.410395,-0.442796,-4.457501,-4.560998,-4.664495,-4.767992,-4.871488
5,0,5,0,1.065704,0.921011,0.776317,0.631624,0.486931,4.608111,4.35702,4.105929,3.854838,3.603747,3.603747,1.18519,1.040497,0.895804,0.751111,0.606417,4.81079,4.559699,4.308608,4.057517,4.057517,3.806426,1.329884,5.061881,1.210397,4.859202,1.197794,1.053101,0.908407,0.763714,0.763714,0.619021,4.834996,4.583905,4.332814,4.081723,3.830632,2.193786,3.39534,4.596893,5.798447,7,2.178394,3.383795,4.589197,5.794598,7,7,1.201553,2.403107,3.60466,4.806214,6.007767,1.205402,2.410803,3.616205,4.821606,4.821606,6.027008,0,0,0.992233,0.972992,1.096893,2.298447,3.5,4.701553,4.701553,5.903107,1.089197,2.294598,3.5,4.705402,5.910803,-0.157778,-0.199669,-0.241559,-0.28345,-0.32534,-3.877567,-4.014448,-4.151329,-4.28821,-4.425091,-4.425091,-0.123186,-0.165076,-0.206966,-0.248857,-0.290747,-3.767077,-3.903958,-4.040839,-4.177721,-4.177721,-4.314602,-0.081295,-3.630196,-0.115888,-3.740686,-0.265465,-0.307355,-0.349246,-0.391136,-0.391136,-0.433027,-4.292801,-4.429682,-4.566563,-4.703444,-4.840325
6,0,6,0,1.147419,0.982297,0.817175,0.652053,0.486931,4.782702,4.487963,4.193224,3.898485,3.603747,3.603747,1.283385,1.118263,0.953141,0.788019,0.622897,5.017588,4.72285,4.428111,4.133372,4.133372,3.838633,1.448507,5.312327,1.312541,5.077441,1.297963,1.132841,0.967719,0.802597,0.802597,0.637475,5.047515,4.752776,4.458037,4.163298,3.868559,2.191836,3.393877,4.595918,5.797959,7,2.169858,3.377393,4.584929,5.792464,7,7,1.202041,2.404082,3.606123,4.808164,6.010205,1.207536,2.415071,3.622607,4.830142,4.830142,6.037678,0,0,0.989795,0.962322,1.095918,2.297959,3.5,4.702041,4.702041,5.904082,1.084929,2.292464,3.5,4.707536,5.915071,-0.118187,-0.169976,-0.221764,-0.273552,-0.32534,-3.737535,-3.909424,-4.081313,-4.253202,-4.425091,-4.425091,-0.075544,-0.127332,-0.17912,-0.230908,-0.282696,-3.600552,-3.772441,-3.94433,-4.116219,-4.116219,-4.288108,-0.023755,-3.428663,-0.066399,-3.565646,-0.215628,-0.267416,-0.319204,-0.370992,-0.370992,-0.422781,-4.120188,-4.292077,-4.463966,-4.635855,-4.807744
7,0,7,0,1.22288,1.038893,0.854906,0.670918,0.486931,4.947712,4.611721,4.275729,3.939738,3.603747,3.603747,1.373921,1.189934,1.005947,0.821959,0.637972,5.211688,4.875697,4.539706,4.203714,4.203714,3.867723,1.557909,5.54768,1.406868,5.283703,1.390395,1.206407,1.02242,0.838432,0.838432,0.654445,5.247696,4.911705,4.575713,4.239722,3.903731,2.189773,3.39233,4.594886,5.797443,7,2.160452,3.370339,4.580226,5.790113,7,7,1.202557,2.405114,3.60767,4.810227,6.012784,1.209887,2.419774,3.629661,4.839548,4.839548,6.049435,0,0,0.987216,0.950565,1.094886,2.297443,3.5,4.702557,4.702557,5.905114,1.080226,2.290113,3.5,4.709887,5.919774,-0.077328,-0.139331,-0.201334,-0.263337,-0.32534,-3.592514,-3.800658,-4.008803,-4.216947,-4.425091,-4.425091,-0.026428,-0.088431,-0.150434,-0.212437,-0.27444,-3.428982,-3.637127,-3.845271,-4.053415,-4.053415,-4.26156,0.035575,-3.220838,-0.015325,-3.38437,-0.164145,-0.226148,-0.288151,-0.350154,-0.350154,-0.412157,-3.941551,-4.149695,-4.35784,-4.565984,-4.774128
8,0,8,0,1.292808,1.091339,0.889869,0.6884,0.486931,5.103126,4.728281,4.353436,3.978591,3.603747,3.603747,1.457677,1.256208,1.054738,0.853269,0.6518,5.393137,5.018292,4.643447,4.268602,4.268602,3.893758,1.659146,5.767982,1.494277,5.477971,1.475977,1.274508,1.073039,0.871569,0.871569,0.6701,5.435554,5.060709,4.685864,4.311019,3.936175,2.187625,3.390719,4.593813,5.796906,7,2.150409,3.362807,4.575205,5.787602,7,7,1.203094,2.406187,3.609281,4.812375,6.015468,1.212398,2.424795,3.637193,4.849591,4.849591,6.061988,0,0,0.984532,0.938012,1.093813,2.296906,3.5,4.703094,4.703094,5.906187,1.075205,2.287602,3.5,4.712398,5.924795,-0.035531,-0.107983,-0.180436,-0.252888,-0.32534,-3.443761,-3.689094,-3.934426,-4.179759,-4.425091,-4.425091,0.023759,-0.048693,-0.121145,-0.193598,-0.26605,-3.253952,-3.499284,-3.744617,-3.989949,-3.989949,-4.235282,0.096211,-3.008619,0.036921,-3.198429,-0.111436,-0.183888,-0.25634,-0.328793,-0.328793,-0.401245,-3.758455,-4.003787,-4.24912,-4.494452,-4.739785
9,0,9,0,1.357763,1.140055,0.922347,0.704639,0.486931,5.249056,4.837729,4.426401,4.015074,3.603747,3.603747,1.53534,1.317632,1.099924,0.882216,0.664508,5.562177,5.150849,4.739522,4.328195,4.328195,3.916867,1.753048,5.973504,1.575471,5.660384,1.555406,1.337697,1.119989,0.902281,0.902281,0.684573,5.61128,5.199953,4.788625,4.377298,3.965971,2.185418,3.389063,4.592709,5.796354,7,2.139939,3.354954,4.569969,5.784985,7,7,1.203646,2.407291,3.610937,4.814582,6.018228,1.215015,2.430031,3.645046,4.860061,4.860061,6.075077,0,0,0.981772,0.924923,1.092709,2.296354,3.5,4.703646,4.703646,5.907291,1.069969,2.284985,3.5,4.715015,5.930031,0.006911,-0.076152,-0.159214,-0.242277,-0.32534,-3.292347,-3.575533,-3.858719,-4.141905,-4.425091,-4.425091,0.074663,-0.0084,-0.091463,-0.174526,-0.257589,-3.076774,-3.35996,-3.643145,-3.926331,-3.926331,-4.209517,0.157725,-2.793588,0.089974,-3.009161,-0.05787,-0.140933,-0.223996,-0.307058,-0.307058,-0.390121,-3.572217,-3.855403,-4.138589,-4.421775,-4.704961
10,0,10,0,1.418208,1.185389,0.95257,0.71975,0.486931,5.385715,4.940223,4.494731,4.049239,3.603747,3.603747,1.607479,1.37466,1.14184,0.909021,0.676201,5.719196,5.273704,4.828212,4.38272,4.38272,3.937227,1.840299,6.164688,1.651028,5.831208,1.629254,1.396434,1.163615,0.930795,0.930795,0.697976,5.775202,5.32971,4.884218,4.438725,3.993233,2.183169,3.387377,4.591585,5.795792,7,2.129221,3.346916,4.56461,5.782305,7,7,1.204208,2.408415,3.612623,4.816831,6.021039,1.217695,2.43539,3.653084,4.870779,4.870779,6.088474,0,0,0.978961,0.911526,1.091585,2.295792,3.5,4.704208,4.704208,5.908415,1.06461,2.282305,3.5,4.717695,5.93539,0.049745,-0.044027,-0.137798,-0.231569,-0.32534,-3.139187,-3.460663,-3.782139,-4.103615,-4.425091,-4.425091,0.125976,0.032205,-0.061566,-0.155338,-0.249109,-2.89854,-3.220016,-3.541492,-3.862969,-3.862969,-4.184445,0.219747,-2.577064,0.143516,-2.81771,-0.003768,-0.097539,-0.19131,-0.285081,-0.285081,-0.378852,-3.383951,-3.705427,-4.026903,-4.348379,-4.669855
11,0,11,0,1.474541,1.227638,0.980736,0.733833,0.486931,5.513389,5.035978,4.558568,4.081157,3.603747,3.603747,1.674583,1.427681,1.180778,0.933876,0.686973,5.864683,5.387272,4.909861,4.432451,4.432451,3.95504,1.921486,6.342093,1.721443,5.990799,1.698013,1.451111,1.204208,0.957306,0.957306,0.710403,5.927741,5.45033,4.97292,4.495509,4.018099,2.180896,3.385672,4.590448,5.795224,7,2.118406,3.338805,4.559203,5.779602,7,7,1.204776,2.409552,3.614328,4.819104,6.023879,1.220398,2.440797,3.661195,4.881594,4.881594,6.101992,0,0,0.976121,0.898008,1.090448,2.295224,3.5,4.704776,4.704776,5.909552,1.059203,2.279602,3.5,4.720398,5.940797,0.092752,-0.011771,-0.116294,-0.220817,-0.32534,-2.985059,-3.345067,-3.705075,-4.065083,-4.425091,-4.425091,0.177438,0.072915,-0.031608,-0.136131,-0.240654,-2.720154,-3.080162,-3.44017,-3.800178,-3.800178,-4.160186,0.281961,-2.360146,0.197276,-2.625051,0.050598,-0.053925,-0.158448,-0.262971,-0.262971,-0.367494,-3.194595,-3.554603,-3.914611,-4.274619,-4.634627
12,0,12,0,1.527107,1.267063,1.007019,0.746975,0.486931,5.632414,5.125247,4.61808,4.110914,3.603747,3.603747,1.737082,1.477038,1.216994,0.956949,0.696905,5.999188,5.492021,4.984854,4.477687,4.477687,3.97052,1.997126,6.506355,1.787151,6.139581,1.762117,1.502072,1.242028,0.981984,0.981984,0.72194,6.069385,5.562218,5.055051,4.547884,4.040717,2.178613,3.38396,4.589306,5.794653,7,2.107616,3.330712,4.553808,5.776904,7,7,1.205347,2.410694,3.61604,4.821387,6.026734,1.223096,2.446192,3.669288,4.892384,4.892384,6.11548,0,0,0.973266,0.88452,1.089306,2.294653,3.5,4.705347,4.705347,5.910694,1.053808,2.276904,3.5,4.723096,5.946192,0.135752,0.020479,-0.094794,-0.210067,-0.32534,-2.830627,-3.229243,-3.627859,-4.026475,-4.425091,-4.425091,0.228829,0.113557,-0.001716,-0.116989,-0.232262,-2.542355,-2.940971,-3.339587,-3.738203,-3.738203,-4.136819,0.344102,-2.143739,0.251024,-2.432011,0.104998,-0.010275,-0.125548,-0.24082,-0.24082,-0.356093,-3.004935,-3.403551,-3.802167,-4.200783,-4.5994
13,0,13,0,1.576219,1.303897,1.031575,0.759253,0.486931,5.743165,5.208311,4.673456,4.138601,3.603747,3.603747,1.795359,1.523037,1.250715,0.978393,0.706071,6.123301,5.588446,5.053592,4.518737,4.518737,3.983882,2.067681,6.658156,1.848541,6.27802,1.82195,1.549628,1.277306,1.004984,1.004984,0.732662,6.20066,5.665806,5.130951,4.596096,4.061242,2.17633,3.382247,4.588165,5.794082,7,2.096947,3.32271,4.548473,5.774237,7,7,1.205918,2.411835,3.617753,4.82367,6.029588,1.225763,2.451527,3.67729,4.903053,4.903053,6.128816,0,0,0.970412,0.871184,1.088165,2.294082,3.5,4.705918,4.705918,5.911835,1.048473,2.274237,3.5,4.725763,5.951527,0.17859,0.052607,-0.073375,-0.199358,-0.32534,-2.676446,-3.113607,-3.550769,-3.98793,-4.425091,-4.425091,0.279969,0.153986,0.028004,-0.097978,-0.223961,-2.365743,-2.802905,-3.240066,-3.677227,-3.677227,-4.114389,0.405951,-1.928582,0.304572,-2.239285,0.159241,0.033258,-0.092724,-0.218706,-0.218706,-0.344689,-2.815625,-3.252787,-3.689948,-4.127109,-4.564271
14,0,14,0,1.622157,1.338351,1.054544,0.770737,0.486931,5.846036,5.285464,4.724891,4.164319,3.603747,3.603747,1.849763,1.565956,1.282149,0.998343,0.714536,6.237625,5.677052,5.11648,4.555907,4.555907,3.995335,2.133569,6.798197,1.905964,6.406609,1.877863,1.594057,1.31025,1.026443,1.026443,0.742637,6.322117,5.761544,5.200972,4.640399,4.079827,2.174056,3.380542,4.587028,5.793514,7,2.08647,3.314853,4.543235,5.771618,7,7,1.206486,2.412972,3.619458,4.825944,6.03243,1.228382,2.456765,3.685147,4.91353,4.91353,6.141912,0,0,0.96757,0.858088,1.087028,2.293514,3.5,4.706486,4.706486,5.912972,1.043235,2.271618,3.5,4.728382,5.956765,0.221142,0.084522,-0.052099,-0.18872,-0.32534,-2.52298,-2.998508,-3.474036,-3.949563,-4.425091,-4.425091,0.330708,0.194088,0.057467,-0.079153,-0.215774,-2.1908,-2.666328,-3.141855,-3.617383,-3.617383,-4.092911,0.467329,-1.715272,0.357763,-2.047453,0.21317,0.07655,-0.060071,-0.196691,-0.196691,-0.333312,-2.627203,-3.102731,-3.578258,-4.053786,-4.529314
15,0,15,0,1.665175,1.370614,1.076053,0.781492,0.486931,5.941432,5.357011,4.772589,4.188168,3.603747,3.603747,1.900606,1.606045,1.311484,1.016923,0.722362,6.34276,5.758339,5.173918,4.589496,4.589496,4.005075,2.195168,6.927182,1.959737,6.525853,1.930171,1.63561,1.341049,1.046488,1.046488,0.751927,6.434307,5.849885,5.265464,4.681043,4.096622,2.171798,3.378848,4.585899,5.792949,7,2.07624,3.30718,4.53812,5.76906,7,7,1.207051,2.414101,3.621152,4.828202,6.035253,1.23094,2.46188,3.69282,4.92376,4.92376,6.1547,0,0,0.964747,0.8453,1.085899,2.292949,3.5,4.707051,4.707051,5.914101,1.03812,2.26906,3.5,4.73094,5.96188,0.263308,0.116146,-0.031016,-0.178178,-0.32534,-2.370612,-2.884231,-3.397851,-3.911471,-4.425091,-4.425091,0.380928,0.233766,0.086604,-0.060557,-0.207719,-2.017903,-2.531523,-3.045143,-3.558763,-3.558763,-4.072383,0.52809,-1.504283,0.41047,-1.856992,0.26666,0.119498,-0.027664,-0.174826,-0.174826,-0.321988,-2.440104,-2.953724,-3.467344,-3.980964,-4.494584
16,0,16,0,1.705506,1.400862,1.096218,0.791574,0.486931,6.029758,5.423255,4.816752,4.210249,3.603747,3.603747,1.948178,1.643534,1.33889,1.034246,0.729603,6.439297,5.832794,5.226291,4.619788,4.619788,4.013286,2.252822,7.0458,2.01015,6.636261,1.979164,1.67452,1.369876,1.065232,1.065232,0.760589,6.537779,5.931276,5.324773,4.71827,4.111768,2.169562,3.377172,4.584781,5.792391,7,2.066294,3.29972,4.533147,5.766573,7,7,1.207609,2.415219,3.622828,4.830438,6.038047,1.233427,2.466853,3.70028,4.933706,4.933706,6.167133,0,0,0.961953,0.832867,1.084781,2.292391,3.5,4.707609,4.707609,5.915219,1.033147,2.266573,3.5,4.733427,5.966853,0.305006,0.147419,-0.010167,-0.167754,-0.32534,-2.21965,-2.77101,-3.32237,-3.873731,-4.425091,-4.425091,0.430535,0.272949,0.115362,-0.042224,-0.199811,-1.847346,-2.398706,-2.950066,-3.501427,-3.501427,-4.052787,0.588122,-1.295985,0.462592,-1.668289,0.31961,0.162024,0.004438,-0.153149,-0.153149,-0.310735,-2.254679,-2.806039,-3.3574,-3.90876,-4.46012
17,0,17,0,1.74336,1.429253,1.115146,0.801038,0.486931,6.111415,5.484498,4.857581,4.230664,3.603747,3.603747,1.992738,1.678631,1.364523,1.050416,0.736309,6.527802,5.900885,5.273968,4.647051,4.647051,4.020133,2.306846,7.154719,2.057468,6.738332,2.025103,1.710996,1.396888,1.082781,1.082781,0.768673,6.633067,6.00615,5.379233,4.752316,4.125399,2.167352,3.375514,4.583676,5.791838,7,2.056656,3.292492,4.528328,5.764164,7,7,1.208162,2.416324,3.624486,4.832648,6.04081,1.235836,2.471672,3.707508,4.943344,4.943344,6.17918,0,0,0.95919,0.82082,1.083676,2.291838,3.5,4.708162,4.708162,5.916324,1.028328,2.264164,3.5,4.735836,5.971672,0.346173,0.178295,0.010416,-0.157462,-0.32534,-2.070343,-2.65903,-3.247717,-3.836404,-4.425091,-4.425091,0.479456,0.311577,0.143699,-0.024179,-0.192057,-1.679347,-2.268035,-2.856722,-3.445409,-3.445409,-4.034096,0.647334,-1.09066,0.514051,-1.481656,0.371943,0.204065,0.036187,-0.131692,-0.131692,-0.29957,-2.071201,-2.659889,-3.248576,-3.837263,-4.42595
18,0,18,0,1.778933,1.455932,1.132932,0.809931,0.486931,6.186792,5.541031,4.89527,4.249508,3.603747,3.603747,2.034527,1.711527,1.388526,1.065526,0.742525,6.608816,5.963055,5.317293,4.671532,4.671532,4.02577,2.357528,7.254577,2.101933,6.832554,2.06823,1.74523,1.422229,1.099229,1.099229,0.776228,6.720685,6.074923,5.429162,4.783401,4.137639,2.165172,3.373879,4.582586,5.791293,7,2.047341,3.285506,4.52367,5.761835,7,7,1.208707,2.417414,3.626121,4.834828,6.043535,1.238165,2.47633,3.714494,4.952659,4.952659,6.190824,0,0,0.956465,0.809176,1.082586,2.291293,3.5,4.708707,4.708707,5.917414,1.02367,2.261835,3.5,4.738165,5.97633,0.386761,0.208736,0.030711,-0.147315,-0.32534,-1.922885,-2.548436,-3.173988,-3.799539,-4.425091,-4.425091,0.527635,0.34961,0.171584,-0.006441,-0.184466,-1.514069,-2.13962,-2.765172,-3.390724,-3.390724,-4.016275,0.705661,-0.888517,0.564787,-1.297333,0.4236,0.245574,0.067549,-0.110477,-0.110477,-0.288502,-1.889882,-2.515434,-3.140985,-3.766537,-4.392088
19,0,19,0,1.812399,1.481032,1.149665,0.818298,0.486931,6.256265,5.593135,4.930006,4.266876,3.603747,3.603747,2.073762,1.742395,1.411028,1.079661,0.748294,6.68285,6.01972,5.356591,4.693461,4.693461,4.030332,2.40513,7.34598,2.143767,6.919395,2.108764,1.777397,1.44603,1.114663,1.114663,0.783296,6.801122,6.137993,5.474863,4.811734,4.148604,2.163024,3.372268,4.581512,5.790756,7,2.038356,3.278767,4.519178,5.759589,7,7,1.209244,2.418488,3.627732,4.836976,6.04622,1.240411,2.480822,3.721233,4.961644,4.961644,6.202055,0,0,0.95378,0.797945,1.081512,2.290756,3.5,4.709244,4.709244,5.918488,1.019178,2.259589,3.5,4.740411,5.980822,0.426736,0.238717,0.050698,-0.137321,-0.32534,-1.777425,-2.439341,-3.101258,-3.763174,-4.425091,-4.425091,0.575034,0.387015,0.198996,0.010977,-0.177042,-1.35162,-2.013536,-2.675453,-3.33737,-3.33737,-3.999286,0.763053,-0.689703,0.614755,-1.115508,0.474536,0.286517,0.098499,-0.08952,-0.08952,-0.277539,-1.710877,-2.372793,-3.03471,-3.696627,-4.358543
20,0,20,0,1.843923,1.504675,1.165427,0.826179,0.486931,6.320191,5.64108,4.961969,4.282858,3.603747,3.603747,2.110643,1.771395,1.432147,1.0929,0.753652,6.750384,6.071273,5.392162,4.71305,4.71305,4.033939,2.449891,7.429495,2.183171,6.999302,2.146907,1.807659,1.468411,1.129163,1.129163,0.789915,6.874843,6.195732,5.516621,4.83751,4.158398,2.16091,3.370683,4.580455,5.790228,7,2.029701,3.272276,4.514851,5.757425,7,7,1.209772,2.419545,3.629317,4.83909,6.048862,1.242575,2.485149,3.727724,4.970299,4.970299,6.212874,0,0,0.951138,0.787126,1.080455,2.290228,3.5,4.709772,4.709772,5.919545,1.014851,2.257425,3.5,4.742575,5.985149,0.46607,0.268218,0.070365,-0.127488,-0.32534,-1.634072,-2.331827,-3.029581,-3.727336,-4.425091,-4.425091,0.621624,0.423772,0.225919,0.028067,-0.169786,-1.192069,-1.889824,-2.587579,-3.285334,-3.285334,-3.983088,0.819477,-0.494314,0.663923,-0.936317,0.524724,0.326871,0.129019,-0.068834,-0.068834,-0.266686,-1.534296,-2.232051,-2.929806,-3.62756,-4.325315
21,0,21,0,1.87365,1.52697,1.18029,0.833611,0.486931,6.378911,5.68512,4.991329,4.297538,3.603747,3.603747,2.145352,1.798673,1.451993,1.105313,0.758633,6.811865,6.118074,5.424283,4.730492,4.730492,4.036701,2.492032,7.505656,2.22033,7.072702,2.182841,1.836161,1.489481,1.142802,1.142802,0.796122,6.942284,6.248492,5.554701,4.86091,4.167119,2.158831,3.369123,4.579416,5.789708,7,2.021373,3.26603,4.510687,5.755343,7,7,1.210292,2.420584,3.630877,4.841169,6.051461,1.244657,2.489313,3.73397,4.978627,4.978627,6.223283,0,0,0.948539,0.776717,1.079416,2.289708,3.5,4.710292,4.710292,5.920584,1.010687,2.255343,3.5,4.744657,5.989313,0.504749,0.297226,0.089704,-0.117818,-0.32534,-1.492904,-2.225951,-2.958998,-3.692044,-4.425091,-4.425091,0.667389,0.459867,0.252345,0.044823,-0.162699,-1.035453,-1.768499,-2.501546,-3.234593,-3.234593,-3.96764,0.874911,-0.302406,0.712271,-0.759857,0.574144,0.366622,0.1591,-0.048423,-0.048423,-0.255945,-1.360211,-2.093258,-2.826305,-3.559352,-4.292398
22,0,22,0,1.901717,1.548021,1.194324,0.840627,0.486931,6.432744,5.725495,5.018245,4.310996,3.603747,3.603747,2.178056,1.824359,1.470662,1.116966,0.763269,6.86771,6.16046,5.453211,4.745961,4.745961,4.038712,2.531752,7.574959,2.255414,7.139994,2.216735,1.863038,1.509342,1.155645,1.155645,0.801948,7.003852,6.296602,5.589353,4.882103,4.174854,2.156788,3.367591,4.578394,5.789197,7,2.013366,3.260024,4.506683,5.753341,7,7,1.210803,2.421606,3.632409,4.843212,6.054015,1.246659,2.493317,3.739976,4.986634,4.986634,6.233293,0,0,0.945985,0.766707,1.078394,2.289197,3.5,4.710803,4.710803,5.921606,1.006683,2.253341,3.5,4.746659,5.993317,0.542761,0.325736,0.108711,-0.108315,-0.32534,-1.353971,-2.121751,-2.889531,-3.657311,-4.425091,-4.425091,0.71232,0.495295,0.27827,0.061244,-0.155781,-0.881779,-1.649559,-2.417339,-3.185119,-3.185119,-3.952899,0.929346,-0.113998,0.759786,-0.586191,0.622786,0.405761,0.188736,-0.02829,-0.02829,-0.245315,-1.188662,-1.956442,-2.724222,-3.492002,-4.259782
